11. May 2019 | 21:32:43 | - TempBans = 1
11. May 2019 | 21:32:43 | - SpawnKill = 3
11. May 2019 | 21:32:43 | - CapsLock = 0
11. May 2019 | 21:32:43 | - 3DSpeed = 0
11. May 2019 | 21:32:43 | - MaxSpeed = 280
11. May 2019 | 21:32:43 | - AdminImmunity = 0
11. May 2019 | 21:32:43 | - Advertisement = 0
11. May 2019 | 21:32:43 | - FreezeUpdate = 0
11. May 2019 | 21:32:43 | - SpawnTime = 10
11. May 2019 | 21:32:43 | - CheckpointTeleport = 1
11. May 2019 | 21:32:43 | - Airbrake = 150
11. May 2019 | 21:32:43 | - TankMode = 0
11. May 2019 | 21:32:43 | - WarnPlayers = 0
11. May 2019 | 21:32:43 | - SingleplayerCheats = 0
11. May 2019 | 21:32:43 | - MinFPS = 0
11. May 2019 | 21:32:43 | - DisableBadWeapons = 1
11. May 2019 | 21:32:43 | - CBug = 0
11. May 2019 | 21:32:43 | - AntiBugKill = 0
11. May 2019 | 21:32:43 | - NoReload = 0
11. May 2019 | 21:32:43 | - NoReloadForSawnOff = 8
11. May 2019 | 21:32:43 | - ActiveGMC = 0
11. May 2019 | 21:32:43 | - GMCBan = 0
11. May 2019 | 21:32:43 | - ServerSideHealth = 1
11. May 2019 | 21:32:43 | - CheckVMPos = 0
11. May 2019 | 21:32:43 | - QuickTurn = 0
11. May 2019 | 21:32:43 | - VehicleTeleport = 1
11. May 2019 | 21:32:43 | - Wallride = 170
11. May 2019 | 21:32:43 | - DisplayTextDraw = 1
11. May 2019 | 21:32:43 | - AFK = 15
11. May 2019 | 21:32:43 | - PickupTeleport = 1
11. May 2019 | 21:32:43 | - FlyHack = 40
11. May 2019 | 21:32:43 | - JunkBusterChrome = 0
11. May 2019 | 21:32:43 | - CheckWalkAnims = 1
11. May 2019 | 21:32:43 | - ReportMoneyHack = 2
11. May 2019 | 21:32:43 | - SpeedhackAdvanced = 20
11. May 2019 | 21:32:43 | - Joypad = 0
11. May 2019 | 21:32:43 | - ArmedVehicles = 0
11. May 2019 | 21:32:43 | - VehicleRepair = 2
11. May 2019 | 21:32:43 | - TuningHack = 1
11. May 2019 | 21:32:43 | - PayForGuns = 0
11. May 2019 | 21:32:43 | - SpawnVehicles = 1
11. May 2019 | 21:32:43 | - MaxTotalWarnings = 3
11. May 2019 | 21:32:43 | - TooManyWarningsAction = 1
11. May 2019 | 21:32:43 | - AirbrakeDetection = 1
11. May 2019 | 21:32:43 | - SpeedhackDetection = 1
11. May 2019 | 21:32:43 | 0 IP-bans have been loaded.
11. May 2019 | 21:32:43 | 0 temporary bans have been loaded.
11. May 2019 | 21:32:43 | 0 whitelist entries have been loaded.
11. May 2019 | 21:32:43 | 1 blacklist entries have been loaded.
11. May 2019 | 21:32:43 | 12 bad words have been loaded.
11. May 2019 | 21:32:43 | 0 forbidden weapons have been loaded.
11. May 2019 | 21:32:43 | JunkBuster has been configurated.
11. May 2019 | 21:32:43 | JunkBuster (v11) has successfully been loaded.
11. May 2019 | 21:36:52 | Loading JunkBuster...
11. May 2019 | 21:36:52 | Current JunkBuster configuration: 
11. May 2019 | 21:36:52 | - WeaponHack = 1
11. May 2019 | 21:36:52 | - MoneyHack = 1
11. May 2019 | 21:36:52 | - Jetpack = 0
11. May 2019 | 21:36:52 | - HealthHack = 0
11. May 2019 | 21:36:52 | - ArmourHack = 1
11. May 2019 | 21:36:52 | - DriveBy = 3
11. May 2019 | 21:36:52 | - Spam = 1
11. May 2019 | 21:36:52 | - CommandSpam = 0
11. May 2019 | 21:36:52 | - BadWords = 0
11. May 2019 | 21:36:52 | - CarJackHack = 0
11. May 2019 | 21:36:52 | - TeleportHack = 1
11. May 2019 | 21:36:52 | - MaxPing = 1100
11. May 2019 | 21:36:52 | - SpectateHack = 0
11. May 2019 | 21:36:52 | - Blacklist = 1
11. May 2019 | 21:36:52 | - IpBans = 1
11. May 2019 | 21:36:52 | - TempBans = 1
11. May 2019 | 21:36:52 | - SpawnKill = 3
11. May 2019 | 21:36:52 | - CapsLock = 0
11. May 2019 | 21:36:52 | - 3DSpeed = 0
11. May 2019 | 21:36:52 | - MaxSpeed = 280
11. May 2019 | 21:36:52 | - AdminImmunity = 0
11. May 2019 | 21:36:52 | - Advertisement = 0
11. May 2019 | 21:36:52 | - FreezeUpdate = 0
11. May 2019 | 21:36:52 | - SpawnTime = 10
11. May 2019 | 21:36:52 | - CheckpointTeleport = 1
11. May 2019 | 21:36:52 | - Airbrake = 150
11. May 2019 | 21:36:52 | - TankMode = 0
11. May 2019 | 21:36:52 | - WarnPlayers = 0
11. May 2019 | 21:36:52 | - SingleplayerCheats = 0
11. May 2019 | 21:36:52 | - MinFPS = 0
11. May 2019 | 21:36:52 | - DisableBadWeapons = 1
11. May 2019 | 21:36:52 | - CBug = 0
11. May 2019 | 21:36:52 | - AntiBugKill = 0
11. May 2019 | 21:36:52 | - NoReload = 0
11. May 2019 | 21:36:52 | - NoReloadForSawnOff = 8
11. May 2019 | 21:36:52 | - ActiveGMC = 0
11. May 2019 | 21:36:52 | - GMCBan = 0
11. May 2019 | 21:36:52 | - ServerSideHealth = 1
11. May 2019 | 21:36:52 | - CheckVMPos = 0
11. May 2019 | 21:36:52 | - QuickTurn = 0
11. May 2019 | 21:36:52 | - VehicleTeleport = 1
11. May 2019 | 21:36:52 | - Wallride = 170
11. May 2019 | 21:36:52 | - DisplayTextDraw = 1
11. May 2019 | 21:36:53 | - AFK = 15
11. May 2019 | 21:36:53 | - PickupTeleport = 1
11. May 2019 | 21:36:53 | - FlyHack = 40
11. May 2019 | 21:36:53 | - JunkBusterChrome = 0
11. May 2019 | 21:36:53 | - CheckWalkAnims = 1
11. May 2019 | 21:36:53 | - ReportMoneyHack = 2
11. May 2019 | 21:36:53 | - SpeedhackAdvanced = 20
11. May 2019 | 21:36:53 | - Joypad = 0
11. May 2019 | 21:36:53 | - ArmedVehicles = 0
11. May 2019 | 21:36:53 | - VehicleRepair = 2
11. May 2019 | 21:36:53 | - TuningHack = 1
11. May 2019 | 21:36:53 | - PayForGuns = 0
11. May 2019 | 21:36:53 | - SpawnVehicles = 1
11. May 2019 | 21:36:53 | - MaxTotalWarnings = 3
11. May 2019 | 21:36:53 | - TooManyWarningsAction = 1
11. May 2019 | 21:36:53 | - AirbrakeDetection = 1
11. May 2019 | 21:36:53 | - SpeedhackDetection = 1
11. May 2019 | 21:36:53 | 0 IP-bans have been loaded.
11. May 2019 | 21:36:53 | 0 temporary bans have been loaded.
11. May 2019 | 21:36:53 | 0 whitelist entries have been loaded.
11. May 2019 | 21:36:53 | 1 blacklist entries have been loaded.
11. May 2019 | 21:36:53 | 12 bad words have been loaded.
11. May 2019 | 21:36:53 | 0 forbidden weapons have been loaded.
11. May 2019 | 21:36:53 | JunkBuster has been configurated.
11. May 2019 | 21:36:53 | JunkBuster (v11) has successfully been loaded.
11. May 2019 | 22:33:29 | Loading JunkBuster...
11. May 2019 | 22:33:29 | Current JunkBuster configuration: 
11. May 2019 | 22:33:29 | - WeaponHack = 1
11. May 2019 | 22:33:29 | - MoneyHack = 1
11. May 2019 | 22:33:29 | - Jetpack = 0
11. May 2019 | 22:33:29 | - HealthHack = 0
11. May 2019 | 22:33:29 | - ArmourHack = 1
11. May 2019 | 22:33:29 | - DriveBy = 3
11. May 2019 | 22:33:29 | - Spam = 1
11. May 2019 | 22:33:29 | - CommandSpam = 0
11. May 2019 | 22:33:29 | - BadWords = 0
11. May 2019 | 22:33:29 | - CarJackHack = 0
11. May 2019 | 22:33:29 | - TeleportHack = 1
11. May 2019 | 22:33:29 | - MaxPing = 1100
11. May 2019 | 22:33:29 | - SpectateHack = 0
11. May 2019 | 22:33:29 | - Blacklist = 1
11. May 2019 | 22:33:29 | - IpBans = 1
11. May 2019 | 22:33:29 | - TempBans = 1
11. May 2019 | 22:33:29 | - SpawnKill = 3
11. May 2019 | 22:33:29 | - CapsLock = 0
